"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 25 21:32:17 SAMT 2024","Sun Feb 25 21:32:19 SAMT 2024","1636","suite","FirefoxTest","ssu.task.tests.PictureStyleMatchingAvailabilityTest","ssu.task.tests.PictureStyleMatchingAvailabilityTest","VerifyPresenceOfCityscapePaintingInEmbroideredPictures","VerifyPresenceOfCityscapePaintingInEmbroideredPictures",""
"failed","Sun Feb 25 21:31:58 SAMT 2024","Sun Feb 25 21:32:01 SAMT 2024","3717","suite","FirefoxTest","ssu.task.tests.PictureCartPriceConsistencyTest","ssu.task.tests.PictureCartPriceConsistencyTest","verifyAddingFirstJewelryItemToCartAndPriceConsistencyBadResult","verifyAddingFirstJewelryItemToCartAndPriceConsistencyBadResult",""
"passed","Sun Feb 25 21:31:49 SAMT 2024","Sun Feb 25 21:31:54 SAMT 2024","4832","suite","FirefoxTest","ssu.task.tests.PictureCartPriceConsistencyTest","ssu.task.tests.PictureCartPriceConsistencyTest","verifyAddingFirstJewelryItemToCartAndPriceConsistency","verifyAddingFirstJewelryItemToCartAndPriceConsistency",""
"passed","Sun Feb 25 21:31:48 SAMT 2024","Sun Feb 25 21:31:51 SAMT 2024","3184","suite","ChromeTest","ssu.task.tests.PictureCartPriceConsistencyTest","ssu.task.tests.PictureCartPriceConsistencyTest","verifyAddingFirstJewelryItemToCartAndPriceConsistency","verifyAddingFirstJewelryItemToCartAndPriceConsistency",""
"passed","Sun Feb 25 21:31:57 SAMT 2024","Sun Feb 25 21:31:58 SAMT 2024","1369","suite","ChromeTest","ssu.task.tests.PictureSearchResultsTest","ssu.task.tests.PictureSearchResultsTest","verifyTitleOfFirstPaintingInSearchResultsForGiraffe","verifyTitleOfFirstPaintingInSearchResultsForGiraffe",""
"passed","Sun Feb 25 21:32:00 SAMT 2024","Sun Feb 25 21:32:02 SAMT 2024","1453","suite","ChromeTest","ssu.task.tests.PictureStyleMatchingAvailabilityTest","ssu.task.tests.PictureStyleMatchingAvailabilityTest","VerifyPresenceOfCityscapePaintingInEmbroideredPictures","VerifyPresenceOfCityscapePaintingInEmbroideredPictures",""
"passed","Sun Feb 25 21:32:11 SAMT 2024","Sun Feb 25 21:32:15 SAMT 2024","4121","suite","ChromeTest","ssu.task.tests.PictureToFavoriteTests","ssu.task.tests.PictureToFavoriteTests","verifyAddingFirstBatikPictureToFavorites","verifyAddingFirstBatikPictureToFavorites",""
"failed","Sun Feb 25 21:31:52 SAMT 2024","Sun Feb 25 21:31:55 SAMT 2024","2961","suite","ChromeTest","ssu.task.tests.PictureCartPriceConsistencyTest","ssu.task.tests.PictureCartPriceConsistencyTest","verifyAddingFirstJewelryItemToCartAndPriceConsistencyBadResult","verifyAddingFirstJewelryItemToCartAndPriceConsistencyBadResult",""
"passed","Sun Feb 25 21:32:22 SAMT 2024","Sun Feb 25 21:32:25 SAMT 2024","3055","suite","FirefoxTest","ssu.task.tests.PictureStyleMatchingAvailabilityTest","ssu.task.tests.PictureStyleMatchingAvailabilityTest","verifyPaintingStyleTramwayPath","verifyPaintingStyleTramwayPath",""
"passed","Sun Feb 25 21:32:29 SAMT 2024","Sun Feb 25 21:32:32 SAMT 2024","3454","suite","FirefoxTest","ssu.task.tests.PictureToFavoriteTests","ssu.task.tests.PictureToFavoriteTests","verifyAddingFirstBatikPictureToFavorites","verifyAddingFirstBatikPictureToFavorites",""
"passed","Sun Feb 25 21:32:03 SAMT 2024","Sun Feb 25 21:32:08 SAMT 2024","5229","suite","ChromeTest","ssu.task.tests.PictureStyleMatchingAvailabilityTest","ssu.task.tests.PictureStyleMatchingAvailabilityTest","verifyPaintingStyleTramwayPath","verifyPaintingStyleTramwayPath",""
"passed","Sun Feb 25 21:32:06 SAMT 2024","Sun Feb 25 21:32:13 SAMT 2024","7707","suite","FirefoxTest","ssu.task.tests.PictureSearchResultsTest","ssu.task.tests.PictureSearchResultsTest","verifyTitleOfFirstPaintingInSearchResultsForGiraffe","verifyTitleOfFirstPaintingInSearchResultsForGiraffe",""
